published_at,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,followers,engagement_rate_by_follower,engagement_rate_lift,estimated_impressions,engagement_rate_by_estimated_impression,post_tag_ugc,post_tag_contests
27/05/2025 18:26,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,The best heated portable breast pump out there! ❤️ #eufys1pro #eufybaby #momlife #breastfeeding #firsttimemom #breastmilk #breastfeedingtips #breastfeedingjourney #momadvice,https://www.instagram.com/reel/DKLVJ9Gy-Q1/,,,,https://d1cdkkfhgor70g.cloudfront.net/DKLVJ9Gy-Q1?postNativeId=18055909073353153,reel,,,94,70,24,17104,0.00549579,2.4345277295378285,3602,0.026096613,0,0
19/03/2025 12:54,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Designed for comfort, convenience, and privacy—experience the eufy Wearable Breast Pump S1 Pro with HeatFlow technology for a gentle skin-like experience. Link in Bio!",https://www.instagram.com/p/DHZEbgPSUso/,,,,https://d1cdkkfhgor70g.cloudfront.net/DHZEbgPSUso?postNativeId=18035570597532821,photo,,,89,84,5,17104,0.005203461,2.3050264160396265,2234,0.039838854,0,0
29/08/2024 11:24,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Pump warm for a better flow with the S1 Pro 🥰 Click the link in the bio to learn more 📸 rydersinmotion,https://www.instagram.com/p/C_QxkBnxUnu/,,,,https://d1cdkkfhgor70g.cloudfront.net/C_QxkBnxUnu?postNativeId=18038837384018894,photo,,,89,83,6,17104,0.005203461,2.3050264160396265,2246,0.039626002,1,0
29/06/2025 23:46,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,I deserve to get this because I don’t want to deal with mastitis anymore 🥹 #eufybaby #momlife #firsttimemom #breastfeeding #breastmilk #breastfeedingtips #breastfeedingjourney #newmoms,https://www.instagram.com/reel/DLg4DB7uk2y/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLg4DB7uk2y?postNativeId=17954882126968089,reel,,,86,74,12,17104,0.005028064,2.2273259061179758,3414,0.025190392501464556,0,0
10/03/2025 08:14,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Planes, trains, and automobiles—your eufy Breast Pump is the perfect travel companion! ✈️🚗🍼 Comfort and convenience on the go. 👉 https://eufyofficial.com/Solar25",https://www.instagram.com/p/DHBZQGXuTEv/,,,,https://d1cdkkfhgor70g.cloudfront.net/DHBZQGXuTEv?postNativeId=18107260321431816,photo,,,83,69,14,17104,0.004852666,2.1496256048282505,2422,0.034269199,0,0
29/01/2025 12:04,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,What the Experts Say... 🍼✨ How does Heatflow™ technology help boost milk output? Let’s find out! 🔥 $70 OFF the eufy S1 Pro today! 💥 🔗 Link in bio #eufypump #eufybreastpump #eufyheatedpump,https://www.instagram.com/p/DFazvjoukfF/,,,,https://d1cdkkfhgor70g.cloudfront.net/DFazvjoukfF?postNativeId=18282013990216314,photo,,,83,72,11,17104,0.004852666,2.1496256048282505,2246,0.036954586,0,0
14/08/2024 18:20,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Motherhood is all about nurturing the bond that grows with each feeding. When I can’t feed directly, the eufy Wearable Breast Pump S1 Pro ensures my baby still gets the best. 💕👶",https://www.instagram.com/reel/C-q5Sa_STpz/,,,,https://d1cdkkfhgor70g.cloudfront.net/C-q5Sa_STpz?postNativeId=18450719053044410,reel,,,82,79,3,17104,0.0047942,2.123725550760847,3353,0.024455711,0,0
21/05/2024 03:46,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Unboxing the eufy Wearable Breast Pump 📦 🌟 The World's First Wearable Breast Pump With Heating 🌟 🔋 Industry-Leading Charging Case for Pumping Anywhere 🛋️ Optimal Comfort, Maximized Output 📱 Smart Pumping, Tailored for You with the eufy Baby app 🤫 Whisper-Quiet Pumping for Your Privacy 🧼 4 Parts Only, Easy to Wash Pump Warm for a Better Flow Learn more via link in bio",https://www.instagram.com/reel/C7OdoUTKPEa/,,,,https://d1cdkkfhgor70g.cloudfront.net/C7OdoUTKPEa?postNativeId=18029178335065402,reel,,,82,71,11,17104,0.0047942,2.123725550760847,3417,0.023997659,0,0
28/11/2024 08:20,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Unboxing the eufy Wearable Breast Pump S1 Pro! 🍼👀 🔗 Link in bio The only pump with built-in heating for comfort & better milk flow, plus hands-free, smart features via the eufy Baby app. 📱 Discreet, quiet, and perfect for on-the-go moms! BIG Black Friday savings now! 🛍️",https://www.instagram.com/reel/DC6wzlEBxUr/,,,,https://d1cdkkfhgor70g.cloudfront.net/DC6wzlEBxUr?postNativeId=18043862375129626,reel,,,80,65,15,17104,0.004677268,2.0719255121696105,3265,0.024502297,0,0
01/07/2024 12:28,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Why pump and store milk? 🍼 For convenience, freedom, and always having the best for baby on hand. 💙 #MomLife #Breastfeeding",https://www.instagram.com/reel/C849wWqAKPh/,,,,https://d1cdkkfhgor70g.cloudfront.net/C849wWqAKPh?postNativeId=18028385209969289,reel,,,80,69,11,17104,0.004677268,2.0719255121696105,3352,0.023866348,0,0
